"","ds","y"
"1",2022-01-01,"2148.22"
"2",2022-01-01 01:00:00,"1863.54"
"3",2022-01-01 02:00:00,"1697.53"
"4",2022-01-01 03:00:00,"1593.03"
"5",2022-01-01 04:00:00,"1603.47"
"6",2022-01-01 05:00:00,"1764.45"
"7",2022-01-01 06:00:00,"2208.16"
"8",2022-01-01 07:00:00,"2958.64"
"9",2022-01-01 08:00:00,"3775.61"
"10",2022-01-01 09:00:00,"4083.54"
"11",2022-01-01 10:00:00,"4391.72"
"12",2022-01-01 11:00:00,"4423.64"
"13",2022-01-01 12:00:00,"4175.41"
"14",2022-01-01 13:00:00,"3756.09"
"15",2022-01-01 14:00:00,"3330.72"
"16",2022-01-01 15:00:00,"3132.73"
"17",2022-01-01 16:00:00,"2992.18"
"18",2022-01-01 17:00:00,"3061.99"
"19",2022-01-01 18:00:00,"3272.55"
"20",2022-01-01 19:00:00,"3238.42"
"21",2022-01-01 20:00:00,"3102.41"
"22",2022-01-01 21:00:00,"2935.21"
"23",2022-01-01 22:00:00,"2750.39"
"24",2022-01-01 23:00:00,"2352.43"
"25",2022-01-02,"1914.31"
"26",2022-01-02 01:00:00,"1645.46"
"27",2022-01-02 02:00:00,"1521.14"
"28",2022-01-02 03:00:00,"1466.14"
"29",2022-01-02 04:00:00,"1470.24"
"30",2022-01-02 05:00:00,"1603.94"
"31",2022-01-02 06:00:00,"1983.95"
"32",2022-01-02 07:00:00,"2565.22"
"33",2022-01-02 08:00:00,"3276.91"
"34",2022-01-02 09:00:00,"3619.82"
"35",2022-01-02 10:00:00,"4055.53"
"36",2022-01-02 11:00:00,"4048.29"
"37",2022-01-02 12:00:00,"3873.83"
"38",2022-01-02 13:00:00,"3479.37"
"39",2022-01-02 14:00:00,"3168.39"
"40",2022-01-02 15:00:00,"2942.64"
"41",2022-01-02 16:00:00,"2835.71"
"42",2022-01-02 17:00:00,"2920.78"
"43",2022-01-02 18:00:00,"3273.91"
"44",2022-01-02 19:00:00,"3279.80"
"45",2022-01-02 20:00:00,"3163.36"
"46",2022-01-02 21:00:00,"2984.03"
"47",2022-01-02 22:00:00,"2767.03"
"48",2022-01-02 23:00:00,"2347.13"
"49",2022-01-03,"1915.20"
"50",2022-01-03 01:00:00,"1645.43"
"51",2022-01-03 02:00:00,"1539.01"
"52",2022-01-03 03:00:00,"1486.47"
"53",2022-01-03 04:00:00,"1481.00"
"54",2022-01-03 05:00:00,"1661.94"
"55",2022-01-03 06:00:00,"2133.44"
"56",2022-01-03 07:00:00,"2966.21"
"57",2022-01-03 08:00:00,"3859.39"
"58",2022-01-03 09:00:00,"4236.88"
"59",2022-01-03 10:00:00,"4475.19"
"60",2022-01-03 11:00:00,"4394.56"
"61",2022-01-03 12:00:00,"4169.93"
"62",2022-01-03 13:00:00,"3789.19"
"63",2022-01-03 14:00:00,"3461.30"
"64",2022-01-03 15:00:00,"3335.20"
"65",2022-01-03 16:00:00,"3193.03"
"66",2022-01-03 17:00:00,"3275.69"
"67",2022-01-03 18:00:00,"3664.91"
"68",2022-01-03 19:00:00,"3616.51"
"69",2022-01-03 20:00:00,"3308.60"
"70",2022-01-03 21:00:00,"3107.91"
"71",2022-01-03 22:00:00,"2866.55"
"72",2022-01-03 23:00:00,"2407.90"
"73",2022-01-04,"1980.50"
"74",2022-01-04 01:00:00,"1703.17"
"75",2022-01-04 02:00:00,"1598.25"
"76",2022-01-04 03:00:00,"1531.35"
"77",2022-01-04 04:00:00,"1544.55"
"78",2022-01-04 05:00:00,"1704.71"
"79",2022-01-04 06:00:00,"2175.80"
"80",2022-01-04 07:00:00,"2984.95"
"81",2022-01-04 08:00:00,"3868.96"
"82",2022-01-04 09:00:00,"4108.89"
"83",2022-01-04 10:00:00,"4485.10"
"84",2022-01-04 11:00:00,"4367.17"
"85",2022-01-04 12:00:00,"4047.32"
"86",2022-01-04 13:00:00,"3705.86"
"87",2022-01-04 14:00:00,"3454.56"
"88",2022-01-04 15:00:00,"3353.94"
"89",2022-01-04 16:00:00,"3156.30"
"90",2022-01-04 17:00:00,"3273.23"
"91",2022-01-04 18:00:00,"3590.10"
"92",2022-01-04 19:00:00,"3491.53"
"93",2022-01-04 20:00:00,"3297.98"
"94",2022-01-04 21:00:00,"3001.96"
"95",2022-01-04 22:00:00,"2767.53"
"96",2022-01-04 23:00:00,"2335.49"
"97",2022-01-05,"1927.63"
"98",2022-01-05 01:00:00,"1671.22"
"99",2022-01-05 02:00:00,"1575.03"
"100",2022-01-05 03:00:00,"1511.21"
"101",2022-01-05 04:00:00,"1514.07"
"102",2022-01-05 05:00:00,"1690.29"
"103",2022-01-05 06:00:00,"2168.23"
"104",2022-01-05 07:00:00,"2955.68"
"105",2022-01-05 08:00:00,"3795.99"
"106",2022-01-05 09:00:00,"4045.59"
"107",2022-01-05 10:00:00,"4307.75"
"108",2022-01-05 11:00:00,"4331.33"
"109",2022-01-05 12:00:00,"4258.42"
"110",2022-01-05 13:00:00,"3960.96"
"111",2022-01-05 14:00:00,"3720.60"
"112",2022-01-05 15:00:00,"3613.54"
"113",2022-01-05 16:00:00,"3492.50"
"114",2022-01-05 17:00:00,"3463.84"
"115",2022-01-05 18:00:00,"3762.98"
"116",2022-01-05 19:00:00,"3677.53"
"117",2022-01-05 20:00:00,"3458.79"
"118",2022-01-05 21:00:00,"3166.15"
"119",2022-01-05 22:00:00,"2889.62"
"120",2022-01-05 23:00:00,"2442.31"
"121",2022-01-06,"2002.25"
"122",2022-01-06 01:00:00,"1725.40"
"123",2022-01-06 02:00:00,"1603.50"
"124",2022-01-06 03:00:00,"1557.88"
"125",2022-01-06 04:00:00,"1544.28"
"126",2022-01-06 05:00:00,"1683.90"
"127",2022-01-06 06:00:00,"1987.95"
"128",2022-01-06 07:00:00,"2567.36"
"129",2022-01-06 08:00:00,"3217.05"
"130",2022-01-06 09:00:00,"4084.88"
"131",2022-01-06 10:00:00,"4294.79"
"132",2022-01-06 11:00:00,"4223.26"
"133",2022-01-06 12:00:00,"4167.51"
"134",2022-01-06 13:00:00,"3761.37"
"135",2022-01-06 14:00:00,"3500.78"
"136",2022-01-06 15:00:00,"3451.35"
"137",2022-01-06 16:00:00,"3323.87"
"138",2022-01-06 17:00:00,"3350.94"
"139",2022-01-06 18:00:00,"3549.32"
"140",2022-01-06 19:00:00,"3562.90"
"141",2022-01-06 20:00:00,"3380.94"
"142",2022-01-06 21:00:00,"3069.74"
"143",2022-01-06 22:00:00,"2887.83"
"144",2022-01-06 23:00:00,"2461.94"
"145",2022-01-07,"2030.12"
"146",2022-01-07 01:00:00,"1791.98"
"147",2022-01-07 02:00:00,"1650.61"
"148",2022-01-07 03:00:00,"1602.16"
"149",2022-01-07 04:00:00,"1606.75"
"150",2022-01-07 05:00:00,"1759.43"
"151",2022-01-07 06:00:00,"2186.34"
"152",2022-01-07 07:00:00,"2928.26"
"153",2022-01-07 08:00:00,"3814.25"
"154",2022-01-07 09:00:00,"4164.05"
"155",2022-01-07 10:00:00,"4555.71"
"156",2022-01-07 11:00:00,"4591.06"
"157",2022-01-07 12:00:00,"4433.37"
"158",2022-01-07 13:00:00,"4071.59"
