"","DateTime","State","Hourly Demand Met (in MW)","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Precip.","Condition"
"1",2022-01-01 01:00:00,"Kerala - 2022",2769.91,24,"21 °C",83,"CALM","0 km/h","0 km/h","1,001.04 hPa","0.0 mm","Fair"
"2",2022-01-01 02:00:00,"Kerala - 2022",2695.07,23,"21 °C",88,"ENE","9 km/h","0 km/h","1,002.03 hPa","0.0 mm","Fair"
"3",2022-01-01 03:00:00,"Kerala - 2022",2615.97,25,"21 °C",78,"E","9 km/h","0 km/h","1,002.03 hPa","0.0 mm","Fair"
"4",2022-01-01 04:00:00,"Kerala - 2022",2591.99,27,"21 °C",70,"E","9 km/h","0 km/h","1,003.02 hPa","0.0 mm","Fair"
"5",2022-01-01 05:00:00,"Kerala - 2022",2596.73,29,"22 °C",66,"E","6 km/h","0 km/h","993.14 hPa","0.0 mm","Fair"
"6",2022-01-01 06:00:00,"Kerala - 2022",2750.23,33,"21 °C",49,"WNW","6 km/h","0 km/h","1,002.03 hPa","0.0 mm","Fair"
"7",2022-01-01 06:00:00,"Kerala - 2022",2750.23,31,"21 °C",55,"NE","4 km/h","0 km/h","1,002.03 hPa","0.0 mm","Fair"
"8",2022-01-01 07:00:00,"Kerala - 2022",2858.36,32,"21 °C",52,"W","6 km/h","0 km/h","1,001.04 hPa","0.0 mm","Fair"
"9",2022-01-01 08:00:00,"Kerala - 2022",2874.29,33,"19 °C",43,"SSE","9 km/h","0 km/h","999.06 hPa","0.0 mm","Fair"
"10",2022-01-01 09:00:00,"Kerala - 2022",2928.28,33,"22 °C",52,"SW","13 km/h","0 km/h","998.08 hPa","0.0 mm","Partly Cloudy"
"11",2022-01-01 10:00:00,"Kerala - 2022",3045.12,32,"23 °C",59,"WSW","11 km/h","0 km/h","998.08 hPa","0.0 mm","Partly Cloudy"
"12",2022-01-01 11:00:00,"Kerala - 2022",3119.93,31,"23 °C",62,"WNW","7 km/h","0 km/h","999.06 hPa","0.0 mm","Partly Cloudy"
"13",2022-01-01 12:00:00,"Kerala - 2022",3151.71,29,"21 °C",62,"WNW","11 km/h","0 km/h","999.06 hPa","0.0 mm","Partly Cloudy"
"14",2022-01-01 13:00:00,"Kerala - 2022",3166.88,29,"23 °C",70,"WNW","7 km/h","0 km/h","1,000.05 hPa","0.0 mm","Partly Cloudy"
"15",2022-01-01 14:00:00,"Kerala - 2022",3158.53,28,"23 °C",74,"NW","9 km/h","0 km/h","1,001.04 hPa","0.0 mm","Mostly Cloudy"
"16",2022-01-01 15:00:00,"Kerala - 2022",3279.42,28,"23 °C",74,"SSE","7 km/h","0 km/h","1,002.03 hPa","0.0 mm","Mostly Cloudy"
"17",2022-01-01 16:00:00,"Kerala - 2022",3274.92,27,"22 °C",74,"CALM","0 km/h","0 km/h","1,002.03 hPa","0.0 mm","Mostly Cloudy"
"18",2022-01-01 17:00:00,"Kerala - 2022",3226.79,26,"22 °C",78,"CALM","0 km/h","0 km/h","1,002.03 hPa","0.0 mm","Fair"
"19",2022-01-01 18:00:00,"Kerala - 2022",3193.69,25,"22 °C",83,"CALM","0 km/h","0 km/h","1,002.03 hPa","0.0 mm","Fair"
"20",2022-01-01 19:00:00,"Kerala - 2022",3711.42,25,"22 °C",83,"CALM","0 km/h","0 km/h","1,001.04 hPa","0.0 mm","Fair"
"21",2022-01-01 20:00:00,"Kerala - 2022",3574.96,24,"22 °C",89,"E","6 km/h","0 km/h","1,000.05 hPa","0.0 mm","Fair"
"22",2022-01-01 21:00:00,"Kerala - 2022",3509.82,24,"22 °C",89,"E","7 km/h","0 km/h","1,000.05 hPa","0.0 mm","Partly Cloudy"
"23",2022-01-01 22:00:00,"Kerala - 2022",3404.88,24,"22 °C",89,"ESE","6 km/h","0 km/h","999.06 hPa","0.0 mm","Partly Cloudy"
"24",2022-01-01 23:00:00,"Kerala - 2022",3209.42,24,"22 °C",89,"E","9 km/h","0 km/h","1,000.05 hPa","0.0 mm","Fair"
"25",2022-01-02 01:00:00,"Kerala - 2022",2754.3,24,"21 °C",83,"NE","7 km/h","0 km/h","1,000.05 hPa","0.0 mm","Fair"
"26",2022-01-02 02:00:00,"Kerala - 2022",2685.34,23,"21 °C",88,"ENE","13 km/h","0 km/h","1,000.05 hPa","0.0 mm","Fair"
"27",2022-01-02 03:00:00,"Kerala - 2022",2628.37,24,"21 °C",83,"E","11 km/h","0 km/h","1,001.04 hPa","0.0 mm","Fair"
"28",2022-01-02 04:00:00,"Kerala - 2022",2575.78,26,"21 °C",74,"E","11 km/h","0 km/h","1,002.03 hPa","0.0 mm","Partly Cloudy"
"29",2022-01-02 05:00:00,"Kerala - 2022",2575.11,27,"21 °C",70,"ENE","11 km/h","0 km/h","1,002.03 hPa","0.0 mm","Mostly Cloudy"
"30",2022-01-02 06:00:00,"Kerala - 2022",2700.37,30,"21 °C",58,"ENE","9 km/h","0 km/h","1,001.04 hPa","0.0 mm","Partly Cloudy"
"31",2022-01-02 06:00:00,"Kerala - 2022",2700.37,31,"20 °C",52,"WNW","4 km/h","0 km/h","1,000.05 hPa","0.0 mm","Partly Cloudy"
"32",2022-01-02 07:00:00,"Kerala - 2022",2734.39,32,"21 °C",52,"E","9 km/h","0 km/h","999.06 hPa","0.0 mm","Fair"
"33",2022-01-02 08:00:00,"Kerala - 2022",2704.46,33,"20 °C",46,"SSE","6 km/h","0 km/h","998.08 hPa","0.0 mm","Fair"
"34",2022-01-02 09:00:00,"Kerala - 2022",2640.84,33,"20 °C",46,"S","7 km/h","0 km/h","997.09 hPa","0.0 mm","Fair"
"35",2022-01-02 10:00:00,"Kerala - 2022",2591.66,32,"22 °C",55,"WSW","13 km/h","0 km/h","997.09 hPa","0.0 mm","Partly Cloudy"
"36",2022-01-02 11:00:00,"Kerala - 2022",2589.91,31,"22 °C",58,"W","9 km/h","0 km/h","997.09 hPa","0.0 mm","Partly Cloudy"
"37",2022-01-02 12:00:00,"Kerala - 2022",2611.25,29,"22 °C",66,"WNW","7 km/h","0 km/h","997.09 hPa","0.0 mm","Fair"
"38",2022-01-02 13:00:00,"Kerala - 2022",2621.67,28,"22 °C",70,"N","6 km/h","0 km/h","998.08 hPa","0.0 mm","Fair"
"39",2022-01-02 14:00:00,"Kerala - 2022",2648.76,27,"23 °C",79,"N","4 km/h","0 km/h","999.06 hPa","0.0 mm","Fair"
"40",2022-01-02 15:00:00,"Kerala - 2022",2724.98,27,"23 °C",79,"N","4 km/h","0 km/h","1,000.05 hPa","0.0 mm","Fair"
"41",2022-01-02 16:00:00,"Kerala - 2022",2746.53,27,"23 °C",79,"NW","4 km/h","0 km/h","1,000.05 hPa","0.0 mm","Fair"
"42",2022-01-02 17:00:00,"Kerala - 2022",2766.12,27,"23 °C",79,"CALM","0 km/h","0 km/h","1,000.05 hPa","0.0 mm","Fair"
"43",2022-01-02 18:00:00,"Kerala - 2022",2871.19,26,"23 °C",83,"CALM","0 km/h","0 km/h","1,000.05 hPa","0.0 mm","Fair"
"44",2022-01-02 19:00:00,"Kerala - 2022",3433.58,26,"23 °C",83,"CALM","0 km/h","0 km/h","1,000.05 hPa","0.0 mm","Fair"
"45",2022-01-02 20:00:00,"Kerala - 2022",3416.95,25,"23 °C",89,"ENE","4 km/h","0 km/h","999.06 hPa","0.0 mm","Fair"
"46",2022-01-02 21:00:00,"Kerala - 2022",3389.55,24,"22 °C",89,"E","11 km/h","0 km/h","998.08 hPa","0.0 mm","Fair"
"47",2022-01-02 22:00:00,"Kerala - 2022",3379.98,24,"22 °C",89,"E","9 km/h","0 km/h","998.08 hPa","0.0 mm","Fair"
"48",2022-01-02 23:00:00,"Kerala - 2022",3176.13,24,"21 °C",83,"E","7 km/h","0 km/h","999.06 hPa","0.0 mm","Fair"
"49",2022-01-03 01:00:00,"Kerala - 2022",2711.14,24,"20 °C",78,"SE","6 km/h","0 km/h","999.06 hPa","0.0 mm","Fair"
"50",2022-01-03 02:00:00,"Kerala - 2022",2645.48,24,"20 °C",78,"ENE","4 km/h","0 km/h","1,000.05 hPa","0.0 mm","Fair"
"51",2022-01-03 03:00:00,"Kerala - 2022",2594.86,22,"21 °C",94,"E","6 km/h","0 km/h","1,001.04 hPa","0.0 mm","Fair"
"52",2022-01-03 04:00:00,"Kerala - 2022",2529.27,27,"21 °C",70,"E","6 km/h","0 km/h","1,002.03 hPa","0.0 mm","Fair"
"53",2022-01-03 05:00:00,"Kerala - 2022",2616.54,28,"20 °C",62,"E","7 km/h","0 km/h","1,002.03 hPa","0.0 mm","Fair"
"54",2022-01-03 06:00:00,"Kerala - 2022",2758.89,31,"20 °C",52,"ESE","9 km/h","0 km/h","1,000.05 hPa","0.0 mm","Fair"
"55",2022-01-03 06:00:00,"Kerala - 2022",2758.89,30,"20 °C",55,"NE","13 km/h","0 km/h","1,002.03 hPa","0.0 mm","Fair"
"56",2022-01-03 07:00:00,"Kerala - 2022",2961.25,32,"19 °C",46,"SW","6 km/h","0 km/h","1,000.05 hPa","0.0 mm","Fair"
"57",2022-01-03 08:00:00,"Kerala - 2022",2952.51,32,"19 °C",46,"NE","6 km/h","0 km/h","998.08 hPa","0.0 mm","Fair"
"58",2022-01-03 09:00:00,"Kerala - 2022",2959.21,33,"21 °C",49,"NW","4 km/h","0 km/h","998.08 hPa","0.0 mm","Fair"
"59",2022-01-03 10:00:00,"Kerala - 2022",3081.64,32,"21 °C",52,"W","11 km/h","0 km/h","998.08 hPa","0.0 mm","Fair"
"60",2022-01-03 11:00:00,"Kerala - 2022",3145.03,30,"22 °C",62,"WNW","11 km/h","0 km/h","998.08 hPa","0.0 mm","Fair"
